Internal ID,Project Name,RERA ID,Developer,Type,Latitude,Longitude
1,Shriram Sapphire,,Shriram Properties,Apartment,,
2,Provident Park Square,"PRM/KA/RERA/1251/310/PR/180217/002476, PRM/KA/RERA/1251/310/PR/180507/001648, PRM/KA/RERA/1251/310/PR/180507/001671, PRM/KA/RERA/1251/310/PR/190129/002307, PRM/KA/RERA/1251/310/PR/200226/003305",Provident Housing Limited,Apartment,12.8636082,77.54064
3,Kolte Patil Lakeside 24,PRM/KA/RERA/1251/446/PR/060324/006667,Kolte Patil Developers Ltd,Apartment,13.0966561,77.64772669999999
4,Provident Botanico,,Provident Housing Limited,Apartment,12.9927655,77.8060448
5,Sowparnika Pranathi,PRM/KA/RERA/1251/310/PR/180503/001564,Sowparnika Projects Infrastructure,Apartment,12.8752347,77.4481536
6,Godrej Ananda,"PRM/KA/RERA/1251/309/PR/210331/004084, PRM/KA/RERA/1251/309/PR/280922/005282, PRM/KA/RERA/1251/309/PR/161023/006323",Godrej,Apartment,13.1325768,77.6672134
7,Classic Featherlite The Sanctuary,PRM/KA/RERA/1251/308/PR/120522/004880,Classic Ventures Llp,Plot,12.9101481,77.7840707
8,Sobha Sapphire,,Sobha,Apartment,13.0698335,77.6002031
9,The Akshara Valley Address,PRM/KA/RERA/1251/310/PR/250822/005190,The Address Makers,Plot,12.8895705,77.477092
10,Purva Park Hill,"PRM/KA/RERA/1251/310/PR/220601/004946, PRM/KA/RERA/1251/310/PR/220601/004947, PRM/KA/RERA/1251/310/PR/220601/004948, PRM/KA/RERA/1251/310/PR/220601/004949",Puravankara,Apartment,12.8540543,77.54513229999999
11,Puravankara Purva Zenium,"PRM/KA/RERA/1251/309/PR/190129/002311, PRM/KA/RERA/1251/309/PR/071022/005303",Puravankara,Apartment,13.1460926,77.6389257
12,Provident Sunworth,"PRM/KA/RERA/1251/310/PR/190525/002576, PRM/KA/RERA/1251/310/PR/190529/002585",Provident Housing Limited,Apartment,12.887087,77.46869339999999
13,Mana Dale,PRM/KA/RERA/1251/446/PR/091123/006409,Mana Projects Pvt Ltd,Apartment,12.886956,77.70721840000002
14,Assetz Canvas and Cove,"PRM/KA/RERA/1251/310/PR/200702/003480, PRM/KA/RERA/1251/310/PR/251023/006347, PRM/KA/RERA/1251/310/PR/071223/006454",Assetz Homes,Apartment,12.8695376,77.6343271
15,Sowparnika Life On The Green,PRM/KA/RERA/1251/308/PR/090523/005925,Sowparnika Projects Infrastructure,Villa or Rowhouse,12.8004421,77.7855862
16,Provident Ecopolitan,"PRM/KA/RERA/1251/309/PR/180823/006187, PRM/KA/RERA/1251/309/PR/110823/006162, PRM/KA/RERA/1251/309/PR/110823/006163, PRM/KA/RERA/1251/309/PR/110823/006164, PRM/KA/RERA/1251/309/PR/110823/006165",Provident Housing Limited,Apartment,,
17,Indiabuild Artemis Address,PRM/KA/RERA/1250/307/PR/271023/006363,Indiabuild Real Estates Pvt Ltd,Plot,,
18,Earthen Forest In My Backyard,PRM/KA/RERA/1250/303/PR/090323/005781,Earthen Hues Estates,Plot,,
19,Arvind Greatlands,PRM/KA/RERA/1250/303/PR/181122/005480,Arvind,Plot,13.2509437,77.6147889
20,Sobha Neopolis,"PRM/KA/RERA/1251/446/PR/200923/006269, PRM/KA/RERA/1251/446/PR/200923/006270, PRM/KA/RERA/1251/446/PR/200923/006271, PRM/KA/RERA/1251/446/PR/220923/006283, PRM/KA/RERA/1251/446/PR/220923/006282",Sobha,Apartment,12.9336121,77.71670519999999
21,Tata Swaram,"PRM/KA/RERA/1250/303/PR/250222/004734, PRM/KA/RERA/1250/303/PR/300922/005285",Tata,Plot,13.1928286,77.665998
22,Sammy Beverly Hills,"PRM/KA/RERA/1251/309/PR/181226/002260, PRM/KA/RERA/1251/309/PR/210111/003782",Sammys Dreamland,Plot,13.1461452,77.6402339
23,Chartered Wind Song,PRM/KA/RERA/1250/303/PR/060822/005138,Chartered Housing,Plot,13.2803322,77.6704345
24,Thea Estates Eden 144,"PRM/KA/RERA/1250/303/PR/190722/002715, PRM/KA/RERA/1250/303/PR/280922/005280",Thea Estates,Plot,,
